BITACORA META - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Meta (AI/Social). Llama models, AI infra, $27B Nebius deal. Ad rev growth.
[2026-06-02] INTRA 05:08 - $600.47 | -5.07% | Prob: 60%
[2026-07-14] INTRA 16:30 - $657.13 | 0.06% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 18:16 - $660.66 | 0.6% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 20:31 - $661.04 | 0.66% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 21:55 - $661.04 | 0.66% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 23:04 - $661.04 | 0.66% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 14:59 - $672.77 | 1.77% | Prob: 45% | RSI 72.3 en sobrecompra con MACD alcista, resistencia en $675 y noticias de regulación
[2026-07-15] INTRA 16:39 - $684.83 | 3.6% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 18:19 - $675.6 | 2.2% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 20:28 - $681.31 | 3.07% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 21:55 - $681.31 | 3.07% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 23:04 - $681.31 | 3.07% | Prob: 42% | Ligera-alcista RSI73 sobrecompra vol1.19x precisión 42%
[2026-07-16] INTRA 15:13 - $678 | -0.49% | Prob: 42% | Ligera alcista, RSI 77.1, MACD alcista; crisis existencial pero fuerte crecimiento de ingresos.
[2026-07-16] INTRA 16:31 - $668.46 | -1.89% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-16] INTRA 18:17 - $668.97 | -1.81% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-16] INTRA 20:17 - $664.54 | -2.46% | Prob: 44% | Ligera-alcista RSI 72.9 sobrecompra hist 44%
