BITACORA LRCX - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Lam Research (Semicon Equipment). WFE boom, NAND node transitions $40B. Analyst PT $380.
[2026-06-02] INTRA 05:08 - $317.12 | -0.33% | Prob: 58%
[2026-07-15] INTRA 14:59 - $330.91 | NaN% | Prob: 54% | RSI 42.8 con MACD bajista y resistencia en $335, noticias de ASML refuerzan
[2026-07-15] INTRA 16:39 - $320.96 | -7.26% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 18:19 - $332.84 | -3.83% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 20:28 - $335.43 | -3.08% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 21:55 - $335.43 | -3.08% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-15] INTRA 23:04 - $335.43 | -3.08% | Prob: 56% | Uptrend RSI43 MACD bajista MA50+0.4% precisión 59%
[2026-07-16] INTRA 15:13 - $325.05 | -3.09% | Prob: 56% | Ligera bajista, RSI 36.2, MACD bajista; exposición a litografía con demanda de IA.
[2026-07-16] INTRA 16:31 - $319.83 | -4.65% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-16] INTRA 18:17 - $317.57 | -5.32% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-16] INTRA 20:17 - $320.96 | -4.31% | Prob: 57% | Ligera-bajista RSI 35 MACD neg MA50 -4.3% hist 61%
[2026-07-16] INTRA 22:03 - $320.96 | -4.31% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-16] INTRA 23:01 - $320.96 | -4.31% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-17] INTRA 14:47 - $311.75 | -2.87% | Prob: 58% | Slight bearish technicals (RSI 36.8) but strong fundamentals and positive news support moderate upside.
[2026-07-17] INTRA 16:29 - $320.59 | -0.12% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-17] INTRA 18:16 - $312.72 | -2.57% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-17] INTRA 20:20 - $313.3 | -2.39% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-17] INTRA 21:51 - $313.3 | -2.39% | Prob: 60% | Ligera-bajista RSI 37.4 MA50 -6.8%; hist 65% equip semi
[2026-07-17] INTRA 22:53 - $313.3 | -2.39% | Prob: 61% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-20] INTRA 15:25 - $307.9 | -1.72% | Prob: 62% | Ligera bajista, RSI 28.1, MACD bajista; noticias de Nvidia como momentum stock y serie B de CuspAI, objetivo 320 en 30d, 360 en 3m, 440 en 6m, 560 en 1y, EEUU
[2026-07-20] INTRA 16:38 - $311.02 | -0.73% | Prob: 62% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-20] INTRA 19:06 - $307.94 | -1.71% | Prob: 62% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-20] INTRA 20:40 - $306.76 | -2.09% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-20] INTRA 22:06 - $306.76 | -2.09% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-20] INTRA 23:07 - $306.76 | -2.09% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 15:20 - $319.6 | 4.18% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 16:35 - $322.64 | 5.18% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 18:25 - $321.12 | 4.68% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 20:29 - $322 | 4.97% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 22:01 - $322 | 4.97% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-21] INTRA 23:00 - $322 | 4.97% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-22] INTRA 15:25 - $318.12 | -1.2% | Prob: 54% | Slightly bearish, RSI 30.9, bearish MACD; cash-heavy profile and bullish Wall Street views support upside
[2026-07-22] INTRA 16:31 - $319.98 | -0.63% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-22] INTRA 18:23 - $321.68 | -0.1% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-22] INTRA 20:23 - $319.29 | -0.84% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-22] INTRA 22:01 - $319.29 | -0.84% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-22] INTRA 23:06 - $319.29 | -0.84% | Prob: 61% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 15:25 - $319.57 | 0.09% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 16:49 - $322.96 | 1.15% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 18:27 - $317.43 | -0.58% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 20:26 - $319.78 | 0.15% | Prob: 61% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 22:03 - $319.78 | 0.15% | Prob: 62% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-23] INTRA 22:59 - $319.78 | 0.15% | Prob: 61% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-24] INTRA 15:12 - $308.76 | -3.45% | Prob: 60% | Ligera bajista con RSI 37.5 y MACD bajista; noticias neutrales; precio actual 308.76, objetivo 30d 310.
[2026-07-24] INTRA 16:55 - $311.77 | -2.5% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-24] INTRA 18:27 - $308.16 | -3.63% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-24] INTRA 20:32 - $305.21 | -4.56% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-24] INTRA 22:01 - $305.21 | -4.56% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-24] INTRA 23:07 - $305.21 | -4.56% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-27] INTRA 16:08 - $279.21 | 0% | Prob: 58% | Ligera-bajista, RSI 31, MACD bajista, pero alta precisión 68%
[2026-07-27] INTRA 17:11 - $283.37 | 0% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-27] INTRA 18:32 - $285.19 | -6.56% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-27] INTRA 20:33 - $291.61 | 0% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-27] INTRA 22:02 - $291.61 | -4.46% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-27] INTRA 23:04 - $291.61 | -4.46% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-28] INTRA 15:33 - $263.35 | -9.69% | Prob: 57% | Strong AI data center spending news and positive sentiment drive upside.
[2026-07-28] INTRA 16:54 - $269.47 | -7.59% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-28] INTRA 18:24 - $270.33 | -7.29% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-28] INTRA 20:28 - $269.61 | -7.54% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-28] INTRA 22:01 - $269.61 | -7.54% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-28] INTRA 23:02 - $269.61 | -7.54% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-29] INTRA 15:39 - $259.59 | 0% | Prob: 58% | Ligera bajista, RSI 29, MACD bajista, MA50 -23.3%; presión de earnings y competencia.
[2026-07-29] INTRA 16:34 - $253.37 | -6.02% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-29] INTRA 18:17 - $261.18 | 0% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-29] INTRA 20:23 - $252.35 | -6.4% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-29] INTRA 21:52 - $252.35 | -6.4% | Prob: 62% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-29] INTRA 23:04 - $252.35 | -6.4% | Prob: 62% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-30] INTRA 15:29 - $304.7 | 20.74% | Prob: 61% | Strong earnings beat and outlook; technical slightly bearish but upside.
[2026-07-30] INTRA 16:51 - $296.49 | 17.49% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-30] INTRA 18:27 - $295.05 | 16.92% | Prob: 59% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-30] INTRA 20:26 - $297.72 | 17.98% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-30] INTRA 22:04 - $297.72 | 17.98% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-30] INTRA 23:07 - $297.72 | 17.98% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-31] INTRA 15:39 - $299.03 | 0.44% | Prob: 56% | Ligera-bajista, RSI 41.6, MACD bajista; memory chipmakers soar, Lam Research up.
[2026-07-31] INTRA 17:01 - $301.22 | 1.18% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-31] INTRA 18:29 - $301.52 | 1.28% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-31] INTRA 20:30 - $293.02 | -1.58% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-31] INTRA 22:02 - $293.02 | -1.58% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-31] INTRA 23:11 - $293.02 | -1.58% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 16:01 - $289.89 | -1.07% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 17:21 - $291.42 | -0.55% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 19:00 - $292.04 | -0.33% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 20:43 - $294.61 | 0.54% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 22:04 - $294.61 | 0.54% | Prob: 57% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-03] INTRA 23:03 - $294.61 | 0.54% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-04] INTRA 15:47 - $313.48 | 6.41% | Prob: 55% | Slightly bearish, RSI 43.9, MACD bearish, cloud forecast focus
[2026-08-04] INTRA 17:04 - $314.36 | 6.7% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-04] INTRA 18:46 - $315.45 | 7.07% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-04] INTRA 20:45 - $317.74 | 7.85% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-04] INTRA 22:10 - $317.74 | 7.85% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-04] INTRA 23:04 - $317.74 | 7.85% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 15:48 - $309.3 | -2.66% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 17:05 - $313.45 | -1.35% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 18:31 - $312.79 | -1.56% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 20:43 - $307.42 | -3.25% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 22:11 - $307.42 | -3.25% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-05] INTRA 23:01 - $307.42 | -3.25% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 01:05 - $305.77 | -0.54% | Prob: 52% | Revenue growth comparison with Accenture; technicals mixed but bullish momentum likely
[2026-08-07] INTRA 01:36 - $305.77 | -0.54% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 14:15 - $305.89 | 0.04% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 16:07 - $309.18 | 1.12% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 17:58 - $308.22 | 0.8% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 20:03 - $310.36 | 1.5% | Prob: 51% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 21:34 - $311.35 | 1.82% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-07] INTRA 22:36 - $311.35 | 1.82% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-10] INTRA 14:43 - $311.05 | -0.1% | Prob: 48% | Uptrend with solid MACD; equipment demand for advanced nodes and AI applications fuels growth.
[2026-08-10] INTRA 16:12 - $310.1 | -0.4% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-10] INTRA 18:00 - $306.7 | -1.49% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-10] INTRA 20:04 - $306.51 | -1.55% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-10] INTRA 21:38 - $306.4 | -1.59% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-10] INTRA 22:39 - $306.4 | -1.59% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-11] INTRA 14:50 - $316.4 | 3.27% | Prob: 48% | Slight bearish technicals, but packaging growth potential.
[2026-08-11] INTRA 16:12 - $310.3 | 1.27% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-11] INTRA 18:06 - $310.83 | 1.45% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-11] INTRA 20:10 - $311.41 | 1.64% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-11] INTRA 21:41 - $311.41 | 1.64% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-11] INTRA 22:43 - $311.41 | 1.64% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-12] INTRA 14:44 - $326.39 | 4.81% | Prob: 43% | Slightly bearish, RSI 51.7, MACD bearish, MA50 down 3.4%; target 316.10.
[2026-08-12] INTRA 16:13 - $326.9 | 4.97% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-12] INTRA 18:06 - $328.03 | 5.34% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-12] INTRA 20:10 - $326.11 | 4.72% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-12] INTRA 21:48 - $326.11 | 4.72% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-12] INTRA 22:42 - $326.11 | 4.72% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 14:43 - $331.05 | 1.51% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 16:13 - $338.35 | 3.75% | Prob: 37% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 18:05 - $343.79 | 5.42% | Prob: 36% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 20:05 - $337.54 | 3.5% | Prob: 17% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 21:40 - $337.01 | 3.34% | Prob: 14% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-13] INTRA 22:43 - $337.01 | 3.34% | Prob: 14% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-14] INTRA 14:35 - $336.29 | -0.21% | Prob: 15% | Ligera-bajista with RSI 62.1 and equipment demand; precision 40% moderate; target $350 in 30 days
[2026-08-14] INTRA 16:05 - $327.85 | -2.72% | Prob: 5% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-14] INTRA 18:02 - $327.32 | -2.88% | Prob: 17% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-14] INTRA 19:58 - $332.58 | -1.31% | Prob: 18% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-14] INTRA 21:22 - $332.36 | -1.38% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-14] INTRA 22:24 - $332.36 | -1.38% | Prob: 18% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-17] INTRA 14:01 - $335.73 | 1.01% | Prob: 38% | Ligera bajista, RSI 72, MACD bullish; $3B speed investment may boost performance.
[2026-08-17] INTRA 17:41 - $341.5 | 2.75% | Prob: 35% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-17] INTRA 19:41 - $341.88 | 2.86% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-17] INTRA 21:22 - $343.84 | 3.45% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-17] INTRA 22:26 - $343.84 | 3.45% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 13:54 - $323.76 | 0% | Prob: 35% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 15:47 - $321.83 | 0% | Prob: 31% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 17:39 - $322.94 | -6.08% | Prob: 31% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 19:42 - $325.39 | -5.37% | Prob: 31% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 21:19 - $327.92 | -4.63% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-18] INTRA 22:23 - $327.92 | -4.63% | Prob: 35% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-19] INTRA 14:08 - $321.87 | -1.84% | Prob: 37% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-19] INTRA 21:45 - $307.17 | -6.33% | Prob: 37% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-19] INTRA 22:26 - $307.17 | -6.33% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 14:13 - $309.39 | 0.72% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 15:47 - $307.84 | 0.22% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 17:39 - $306.88 | -0.09% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 19:43 - $307.99 | 0.27% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 21:24 - $310.53 | 1.09% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-20] INTRA 22:29 - $310.53 | 1.09% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 13:59 - $312.51 | 0.64% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 15:47 - $310.17 | -0.12% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 17:39 - $312.26 | 0.56% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 19:38 - $314.29 | 1.21% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 21:20 - $314 | 1.12% | Prob: 37% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-21] INTRA 22:25 - $314 | 1.12% | Prob: 36% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-24] INTRA 14:06 - $301.18 | -4.08% | Prob: 37% | Considered good investment, technicals slightly bearish, earnings expected
[2026-08-24] INTRA 15:51 - $306.49 | -2.39% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-24] INTRA 17:40 - $305.78 | -2.62% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-24] INTRA 19:42 - $310.01 | -1.27% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-24] INTRA 21:24 - $310.17 | -1.22% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-24] INTRA 22:28 - $310.17 | -1.22% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-25] INTRA 14:00 - $314.46 | 1.38% | Prob: 41% | Slight bullish technicals and positive broker recommendations
[2026-08-25] INTRA 15:56 - $313.45 | 1.05% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-25] INTRA 17:40 - $311.8 | 0.53% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-25] INTRA 19:46 - $313.09 | 0.94% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-25] INTRA 21:25 - $314.66 | 1.45% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-25] INTRA 22:28 - $314.66 | 1.45% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-26] INTRA 14:03 - $312.48 | -0.69% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-26] INTRA 16:33 - $311.19 | -1.1% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-26] INTRA 19:14 - $315.55 | 0.28% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-26] INTRA 21:55 - $312.88 | -0.57% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-27] INTRA 00:33 - $312.88 | -0.57% | Prob: 43% | Ligera-bajista con RSI 53.2 y nueva lab en Oregon; objetivo moderado
[2026-08-27] INTRA 02:59 - $312.88 | -0.57% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-27] INTRA 22:55 - $318.58 | 1.82% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-28] INTRA 00:30 - $318.58 | 1.82% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-08-28] INTRA 01:30 - $318.58 | 1.82% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
